video_id,channel,author,comment,likes,published_at
ad79nYk2keg,Simplilearn,@SimplilearnOfficial,"""‍🔥Purdue - Professional Certificate in AI and Machine Learning - https://www.simplilearn.com/pgp-ai-machine-learning-certification-training-course?utm_campaign=lY1SELMvoVs&utm_medium=Comments&utm_source=Youtube
‍🔥IITK - Professional Certificate Course in Generative AI and Machine Learning - https://www.simplilearn.com/iitk-professional-certificate-course-ai-machine-learning?utm_campaign=lY1SELMvoVs&utm_medium=Comments&utm_source=Youtube
‍🔥Microsoft AI Engineer Program - https://www.simplilearn.com/ai-engineer-course?utm_campaign=lY1SELMvoVs&utm_medium=Comments&utm_source=Youtube
‍🔥Purdue - Applied Generative AI Specialization - https://www.simplilearn.com/applied-ai-course?utm_campaign=lY1SELMvoVs&utm_medium=Comments&utm_source=Youtube""",211,2021-09-08T12:54:19Z
ad79nYk2keg,Simplilearn,@WanofiHayleysus,D,0,2026-06-30T07:20:38Z
ad79nYk2keg,Simplilearn,@Daniel-v6i7v,D ai. That develops human emotions over time,0,2026-06-28T14:13:09Z
ad79nYk2keg,Simplilearn,@Dipankar-s7,B,0,2026-06-28T02:26:39Z
ad79nYk2keg,Simplilearn,@johnsylvanus-cf2fp,D,0,2026-06-27T16:56:08Z
ad79nYk2keg,Simplilearn,@MuhammadMairaj-v6f,option A,0,2026-06-20T15:54:55Z
ad79nYk2keg,Simplilearn,@AbdulRafayAdeel-s2p,I think b option is the correct answer?,0,2026-06-17T10:24:27Z
ad79nYk2keg,Simplilearn,@KJ_94,"Option D, AI can’t develop emotions",0,2026-06-17T05:57:17Z
ad79nYk2keg,Simplilearn,@sanasiraj8939,b,0,2026-06-15T09:29:33Z
ad79nYk2keg,Simplilearn,@MohamadIbrahim-z9p,Ai door gate to steal people money that Elon Musk target like use imposter games account to rip thoususands dollars,0,2026-06-14T16:16:41Z
ad79nYk2keg,Simplilearn,@MohamadIbrahim-z9p,While doing time florida maximum prison seen blacks rape whites retaliation revenge for slaves ancestors so whites in penitentiary live hell need help,0,2026-06-14T16:10:18Z
ad79nYk2keg,Simplilearn,@hirutshelemew209,Ante ye dedeboch dedeb ye ewroch Meri AI ye sewn enji en Egziabhern atayemena enkefat honhebgnal ante dedeb ..Atekebet agul awek siluh,0,2026-06-13T14:16:41Z
ad79nYk2keg,Simplilearn,@Estheraniagolu,Option D,0,2026-06-12T11:02:19Z
ad79nYk2keg,Simplilearn,@skillsforce,"None, citizenship for sure has been awarded in KSA,  assuming exoskeleton and mimicking mechanics overlayed with artificial material is considered, voice analysis and facial recognition as cognitive intelligence might help predict emotions its implemention might be in experimental mode, AI does evoke emotions which are now seen in Robotic companion dolls.",0,2026-06-10T17:05:42Z
ad79nYk2keg,Simplilearn,@dipramusinta,C,0,2026-06-10T11:56:35Z
ad79nYk2keg,Simplilearn,@moacirgiansante6164,Alternative D,0,2026-06-10T10:11:24Z
ad79nYk2keg,Simplilearn,@sairahusaini,d,0,2026-06-09T05:44:50Z
ad79nYk2keg,Simplilearn,@SurendraChaudhary-j7s,Anyone not exist,1,2026-06-08T07:06:35Z
ad79nYk2keg,Simplilearn,@HMpramodini,option a,0,2026-06-05T07:18:20Z
ad79nYk2keg,Simplilearn,@HMpramodini,,0,2026-06-05T07:17:27Z
SKk82S_Wx_I,Letter Writer,@RupamDeb-w3w5o,Song is very dangerous,0,2026-07-08T14:24:28Z
SKk82S_Wx_I,Letter Writer,@RupamDeb-w3w5o,Your write is the best but this song are not best,0,2026-07-08T14:23:41Z
SKk82S_Wx_I,Letter Writer,@smunro851,"If AI is so great, put it to work finding a cure for Cancer! Oh that’s right there is a cure for Cancer but there’s a deadlier disease it’s called GREED!",0,2026-07-05T13:28:56Z
SKk82S_Wx_I,Letter Writer,@RamaMagar-o6f,Thank you brother,0,2026-07-02T09:08:30Z
SKk82S_Wx_I,Letter Writer,@gorakhnathkale-gb2kj,👍,0,2026-06-30T14:26:32Z
SKk82S_Wx_I,Letter Writer,@nishantyadav3162,🎉🎉🎉🎉🎉,0,2026-06-28T08:18:20Z
SKk82S_Wx_I,Letter Writer,@hzzzkhan8849,Hi,0,2026-06-28T03:26:17Z
SKk82S_Wx_I,Letter Writer,@SukhvirsinghDhaliwal-n1m,Very goooood,0,2026-06-25T11:13:30Z
SKk82S_Wx_I,Letter Writer,@saheersahee6967,🎉,0,2026-06-20T15:27:12Z
SKk82S_Wx_I,Letter Writer,@AlfiyaBano-t4w2y,Thanks ❤👍🏻,0,2026-06-20T08:43:38Z
SKk82S_Wx_I,Letter Writer,@premlata7577,Thanks ❤❤❤❤,0,2026-06-19T03:21:52Z
SKk82S_Wx_I,Letter Writer,@premlata7577,Very nice ❤🎉,0,2026-06-19T03:17:21Z
SKk82S_Wx_I,Letter Writer,@HarshitKumar-z7p,"""'bb",0,2026-06-17T09:36:06Z
SKk82S_Wx_I,Letter Writer,@BhatSakiya-y9d,vєrч nícє 😊❤,4,2026-06-16T13:09:27Z
SKk82S_Wx_I,Letter Writer,@babyshanvi5781,Ghatiya  writing😅😂😂😂😂😂😂,0,2026-06-15T05:40:19Z
SKk82S_Wx_I,Letter Writer,@Mahnoorsyeda-r7q,In this year every thing is made of AI,1,2026-06-05T08:05:44Z
SKk82S_Wx_I,Letter Writer,@ShubhamChauhan-b3m,"Short Note on Artificial Intelligence (AI)

Artificial Intelligence (AI) is a branch of computer science that enables machines and computers to perform tasks that normally require human intelligence. These tasks include learning, reasoning, problem-solving, decision-making, understanding language, and recognizing images or speech.

AI is used in many areas of daily life, such as virtual assistants, online recommendations, self-driving vehicles, healthcare, education, and robotics. It helps improve efficiency, accuracy, and productivity.

There are different types of AI, ranging from simple systems designed for specific tasks to advanced systems that can learn from data and improve over time. As technology continues to develop, AI is becoming an important part of modern society and has the potential to transform many industries.

Conclusion: AI is a powerful technology that helps machines think and act intelligently, making life easier and solving complex problems.",6,2026-06-02T05:53:41Z
SKk82S_Wx_I,Letter Writer,@raghurajyadavraghurajyadav7338,Very good,0,2026-06-01T08:07:27Z
SKk82S_Wx_I,Letter Writer,@priyankalalitdahiya8342,nice Song,0,2026-06-01T05:00:12Z
SKk82S_Wx_I,Letter Writer,@sonigupta2236,Beautiful😍✨❤✨✨✨✨😍😍😍😍😍😍😍😍😍😍😍😍😍😍 writing✍️✍️,0,2026-05-27T12:24:48Z
Z02U0zz0Pzg,Science 4 Mass,@sheeba855,❤❤❤❤️❤️❤️🙏🙏🙏🙏🙏,0,2026-07-09T11:25:00Z
Z02U0zz0Pzg,Science 4 Mass,@musthafap8573,"👍👍
AI ക്ക് സ്വബോധം ഇല്ലാഞ്ഞത് നന്നായി..
അല്ലെങ്കിൽ!",0,2026-07-09T03:40:05Z
Z02U0zz0Pzg,Science 4 Mass,@satheeshchandraraj514,Very good presentation. Thankyou,0,2026-07-08T23:37:54Z
Z02U0zz0Pzg,Science 4 Mass,@alicekanattu4963,👍,0,2026-07-08T04:09:12Z
Z02U0zz0Pzg,Science 4 Mass,@murlinair6476,Excellent explanation Sir ! I haven't heard a better introduction to AI for common people from anywhere.,0,2026-07-07T00:49:36Z
Z02U0zz0Pzg,Science 4 Mass,@monialex9739,PRAISE GOD Thanks Brother GOD BLESS   for valueable informations,0,2026-07-06T04:02:23Z
Z02U0zz0Pzg,Science 4 Mass,@shajahanki5649,"മെട്രിക്സ് അല്ല
മാട്രിക്സ്",1,2026-07-05T02:29:30Z
Z02U0zz0Pzg,Science 4 Mass,@celinpathiyil1910,Super,0,2026-07-04T16:56:53Z
Z02U0zz0Pzg,Science 4 Mass,@NatarajanS-e3u,Big salute sir.Simple malayalam.Old age peoples very use.,0,2026-07-03T00:20:19Z
Z02U0zz0Pzg,Science 4 Mass,@salyfrancis9094,Super,0,2026-07-02T06:56:15Z
Z02U0zz0Pzg,Science 4 Mass,@josephkp7623,Very good class,0,2026-07-02T01:44:30Z
Z02U0zz0Pzg,Science 4 Mass,@shammaz_shamon,എനിക്ക് ആഗ്രഹമുണ്ടായിരുന്നു ai നെ കുറിച്ച് കേൾക്കാൻ. കേട്ടപ്പോൾ സന്തോഷമായി ❤,0,2026-07-01T15:26:13Z
Z02U0zz0Pzg,Science 4 Mass,@Chandini-b8t,Thank you sir 🙏,0,2026-07-01T15:03:25Z
Z02U0zz0Pzg,Science 4 Mass,@HappyBorderCollie-ok7ol,Very very good,0,2026-07-01T13:16:10Z
Z02U0zz0Pzg,Science 4 Mass,@csktp674,നല്ല ഒരു അറിവ് തന്നതിന് നന്ദി❤❤❤,0,2026-07-01T04:10:06Z
Z02U0zz0Pzg,Science 4 Mass,@sknair4917,Amazing explanation 👌,0,2026-06-29T07:06:47Z
Z02U0zz0Pzg,Science 4 Mass,@farhamedia8156,പൊളിച്ചു മച്ചാനെ,0,2026-06-28T16:20:01Z
Z02U0zz0Pzg,Science 4 Mass,@stanceyvazhappilly6064,"Sir, you are generous to explain about Al to the ordinary people. Thank you Sir.",0,2026-06-27T10:12:16Z
Z02U0zz0Pzg,Science 4 Mass,@LillyPaulose-n2m,സാർഇത്രയും വ്യക്തമായിട്ട് A Iയെകുറിച്ച്പറഞ്ഞത് വളരെഅധികംപ്രയോജനപ്പെട്ടു,0,2026-06-25T10:20:46Z
Z02U0zz0Pzg,Science 4 Mass,@anithaphilip7933,Well explained,0,2026-06-25T08:35:15Z
JMUxmLyrhSk,edureka!,@edurekaIN,"Got a question on the topic? Please share it in the comment section below and our experts will answer it for you. For Edureka AI & ML Engineer Masters Program Course curriculum, Visit our Website: http://bit.ly/2wziDSd (Use Code ""𝐘𝐎𝐔𝐓𝐔𝐁𝐄𝟐𝟎"")",358,2019-06-02T08:51:45Z
JMUxmLyrhSk,edureka!,@BholaSing-d7c,Amazing content as always!,0,2026-05-19T19:42:04Z
JMUxmLyrhSk,edureka!,@NishitaHatun,Really appreciate the insights in this video.,0,2026-05-17T04:30:44Z
JMUxmLyrhSk,edureka!,@johnjacob5240,Exceptional video for beginners of AI. Great Presentation and Learning,0,2026-05-14T04:23:11Z
JMUxmLyrhSk,edureka!,@SNTHAKUR96,thank you very much madam.love from india,2,2026-04-17T05:57:24Z
JMUxmLyrhSk,edureka!,@SåMīrRåYÑ-l6h,"Thanks for sharing this, learned a lot.",0,2026-04-05T16:01:26Z
JMUxmLyrhSk,edureka!,@AmitSharma-rc4zq,Thank you so much Ma'am for your efforts. You made these complex concepts easy to understand. I appreciate your hardwork and dedication.,1,2026-03-31T19:39:08Z
JMUxmLyrhSk,edureka!,@ServantOfAllah-l2w7k,2026 March 9 i learned this course thanks to edureka!,6,2026-03-09T10:04:26Z
JMUxmLyrhSk,edureka!,@aurelianalcali,"Fantastic explanation, thank you!",0,2026-03-07T08:15:30Z
JMUxmLyrhSk,edureka!,@GunaVishal.R,Notes ??,0,2026-03-04T17:13:40Z
JMUxmLyrhSk,edureka!,@CaowmsuehNaowmsus,I’m seriously motivated after watching this!,0,2026-01-09T19:27:41Z
JMUxmLyrhSk,edureka!,@SHASHIMISHRA-y7i,This made me feel like the main character.,0,2026-01-06T01:54:51Z
JMUxmLyrhSk,edureka!,@SHASHIMISHRA-y7i,I’m genuinely amazed by this tutorial!,0,2026-01-06T01:52:47Z
JMUxmLyrhSk,edureka!,@JafevuviRgdvycer,I can’t stop talking about how good this is!,0,2026-01-05T22:28:16Z
JMUxmLyrhSk,edureka!,@IsaiahKeirnant,I didn’t just learn—I upgraded my operating system.,0,2026-01-05T16:41:16Z
JMUxmLyrhSk,edureka!,@felisminamavie2242,You just turned a difficult topic into something exciting!,0,2026-01-05T16:03:53Z
JMUxmLyrhSk,edureka!,@felisminamavie2242,You’ve completely changed how I see this topic!,5,2026-01-05T16:01:33Z
JMUxmLyrhSk,edureka!,@amarjitdas1785,This is pure brilliance in video form!,0,2026-01-05T15:37:18Z
JMUxmLyrhSk,edureka!,@BhiraiahSangepu-o6o,I’m thrilled with how much I learned here!,0,2026-01-02T14:55:35Z
JMUxmLyrhSk,edureka!,@habiburrohoman-u7o,I understood this so fast I need a moment to process my new identity.,3,2025-12-31T13:20:14Z
qYNweeDHiyU,IBM Technology,@rpawar2525,"Great explanation, Thanks Sir",0,2026-07-08T05:01:21Z
